,state,SIR RMSE,ARIMA RMSE
0,AK,549.3720495475692,326.681114986516
1,AL,3160.924685200172,1762.2813517656793
2,AR,1910.4802495298957,548.4385923253699
3,AZ,5296.890946274582,1294.4686096142025
4,CA,26559.37911466935,23962.928762439034
5,CO,2637.2407201578267,1575.1434552560336
6,CT,1877.5857937557078,1382.067968274878
7,DC,482.25908044738986,785.2460413411305
8,DE,577.5375578651247,219.9154567661739
9,FL,12177.756796900661,5332.465631493064
10,GA,6281.9201468797655,2947.862630635308
11,IA,1564.0013821816817,799.0623212737783
12,ID,1053.2169702343656,413.1547382839437
13,IL,5705.336796149602,3912.466295878144
14,IN,4242.5065865157885,2422.874092252783
15,KS,1760.0330147928707,791.0962749252251
16,KY,2917.7950332433616,900.7033142014727
17,LA,2985.695723955458,1472.1007585623108
18,MA,3798.718669053036,2001.3826601560397
19,MD,2022.1939105871313,1186.230642964543
20,ME,536.1246446655205,249.8696376695657
21,MI,5362.842753116543,4959.033733688343
22,MN,3158.47126163957,2364.6577766519613
23,MO,3242.9897536121716,3405.9409151124373
24,MS,1953.2357339991654,961.0664251585191
25,MT,646.3839742273663,315.485763310211
26,NC,5623.060752554837,1564.5258728888234
27,ND,451.58973888886214,159.62313201855392
28,NE,999.002043889142,535.0285778505763
29,NH,792.9025571963317,519.2999717039053
30,NJ,4385.630365087137,3668.3940182862484
31,NM,1217.8971240700996,565.843030679298
32,NV,1814.2051840561742,1505.3273284685804
33,NY,6416.902479143732,3716.0536424024085
34,OH,6972.565157433391,2643.4338389342915
35,OK,2456.8452253022215,974.4522087513903
36,OR,1400.5494111819858,572.9164462008972
37,PA,6945.423483836005,3907.6440093982833
38,RI,705.3713048921845,326.11045534114197
39,SC,3489.6390644680237,934.4828448793418
40,SD,481.77942082389933,282.6850286813373
41,TN,5298.122011587862,3068.8839012772023
42,TX,17176.928286467846,6781.5474558549795
43,UT,2020.2974900669674,801.869452817031
44,VA,3667.1969656150395,1811.3016911522443
45,VT,214.57228826516751,138.7223548991338
46,WA,2618.7691079499505,1174.5070224889073
47,WI,3069.0794780874385,1628.4024163563904
48,WV,1218.5861976586543,521.0983049557384
49,WY,390.2567711930371,173.8984772053681
